submission_id,age,comments,education,endTime,experiment_id,final_points,gender,goal,horizonSize,languages,number_of_clicks,participant_ID,startDate,startTime,timeSpent,trial_name,trial_number,value,x_coordinate,y_coordinate
929,20,,Graduated High School,1563896855297,79,411,male,Maximization,30,"Bulgarian, German",8,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,59,8,6
929,20,,Graduated High School,1563896855297,79,438,male,Maximization,30,"Bulgarian, German",9,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,27,9,7
929,20,,Graduated High School,1563896855297,79,477,male,Maximization,30,"Bulgarian, German",10,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,39,9,6
929,20,,Graduated High School,1563896855297,79,523,male,Maximization,30,"Bulgarian, German",11,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,46,8,7
929,20,,Graduated High School,1563896855297,79,584,male,Maximization,30,"Bulgarian, German",12,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,61,2,8
929,20,,Graduated High School,1563896855297,79,630,male,Maximization,30,"Bulgarian, German",13,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,46,1,8
929,20,,Graduated High School,1563896855297,79,699,male,Maximization,30,"Bulgarian, German",14,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,69,3,7
929,20,,Graduated High School,1563896855297,79,779,male,Maximization,30,"Bulgarian, German",15,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,80,3,8
929,20,,Graduated High School,1563896855297,79,859,male,Maximization,30,"Bulgarian, German",16,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,80,4,8
929,20,,Graduated High School,1563896855297,79,924,male,Maximization,30,"Bulgarian, German",17,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,65,3,9
929,20,,Graduated High School,1563896855297,79,987,male,Maximization,30,"Bulgarian, German",18,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,63,4,9
929,20,,Graduated High School,1563896855297,79,1041,male,Maximization,30,"Bulgarian, German",19,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,54,5,8
929,20,,Graduated High School,1563896855297,79,1110,male,Maximization,30,"Bulgarian, German",20,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,69,4,7
929,20,,Graduated High School,1563896855297,79,1142,male,Maximization,30,"Bulgarian, German",21,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,32,2,1
929,20,,Graduated High School,1563896855297,79,1176,male,Maximization,30,"Bulgarian, German",22,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,34,1,1
929,20,,Graduated High School,1563896855297,79,1215,male,Maximization,30,"Bulgarian, German",23,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,39,1,2
929,20,,Graduated High School,1563896855297,79,1251,male,Maximization,30,"Bulgarian, German",24,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,36,2,2
929,20,,Graduated High School,1563896855297,79,1261,male,Maximization,30,"Bulgarian, German",25,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,10,4,2
929,20,,Graduated High School,1563896855297,79,1288,male,Maximization,30,"Bulgarian, German",26,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,27,9,1
929,20,,Graduated High School,1563896855297,79,1306,male,Maximization,30,"Bulgarian, German",27,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,18,9,9
929,20,,Graduated High School,1563896855297,79,1351,male,Maximization,30,"Bulgarian, German",28,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,45,1,3
929,20,,Graduated High School,1563896855297,79,1403,male,Maximization,30,"Bulgarian, German",29,540113,Tue Jul 23 2019 17:37:56 GMT+0200 (W. Europe Summer Time),1563896276141,9.6526,grid_search,4,52,1,4
